complaint_id,date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zip_code,fed_rssd,assets,chrtagnt,deposits,eq,fdicsupv,frb_commercial_bank,fdic_commercial_bank,occ_commercial_bank,ots_savings_association,fdic_savings_bank,iba_foreign_charter,cu_number,ncua_credit_union,afinn
3154014,2019-02-16,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"On XX/XX/XXXX I received a letter from the IRS stating my identity may have been compromised. My name is XXXX XXXX and I was XXXX yrs old at the time and a college student. My mom & I sat down as I returned from college and pulled my credit report. Discovered after pulling the Free Annual Credit Report that another person, XXXX XXXX  XXXX, and a car loan & credit card that were not mine were on my credit report. It should be noted it was only on XXXX. We contacted XXXX & Wells Fargo bank to report the fraudulent accounts. They did confirm it was my SS # on file but with someone elses name, DOB, and address. We filled out fraud forms, send police report number, and copies of credit reports. On XX/XX/XXXX & XX/XX/XXXX I received letters from both Wells Fargo & XXXX stating it was discovered to be identity theft and they would have the 3 credit bureaus remove from my credit file. I also placed a freeze on my credit files. 

On XX/XX/XXXX I received a few voicemails from SS office stating my identity may have been compromised yet again. I pulled credit reports again and was shocked to see XXXX  is reporting my file as XXXX XXXX XXXX, his DOB, Addresses, XXXX XXXX is running inquiries ( I dont have ), Wells Fargo credit card is showing closed as of XX/XX/XXXX, last payment XX/XX/XXXX, shows consumer disputes, and last reported XX/XX/XXXX. None of this is mine and was to be removed. 

This person is clearly using my SS # according to XXXX & Wells Fargo. XXXX did their job and removed it for Fraud. Wells Fargo has not. How did a large national bank such as Wells Fargo allow someone to open a credit card in my name without the proper verification. Clearly the other persons name and DOB ( XX/XX/XXXX ) does not match my SS #. Where is the verification on that? They allowed someone to use falsified documents and did not follow verification procedures. I am only XXXX yrs old and have been a victim of identity theft by 2 large companies. Please help me with getting this resolved so myself and others never have this happen again.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO BANK NATIONAL ASSOCIATION,CA,956XX,451965,1767808000000,OCC,1479499000000,170894000000,Washington,NA,NA,1,NA,NA,NA,NA,NA,-49
3161642,2019-02-24,Credit card or prepaid card,General-purpose credit card or charge card,Getting a credit card,Card opened as result of identity theft or fraud,"I have been in USA two times as XXXX student ( summer work and travel program ) .My first trip was from XX/XX/XXXX till XXXX XXXXDuring first trip I opened XXXX XXXX XXXX checking account and close it right before I left a country at XXXX XXXXSecond trip was from XX/XX/XXXX till XXXX XXXX.During second trip I opened a XXXX XXXX checking account and close it right before I left a country at XXXX XXXXFrom XX/XX/XXXX till XX/XX/XXXX I lived in XXXX. When I came into the USA at XX/XX/XXXX I went to XXXX XXXX bank to renew/reopen my checking account. The banking clerk told me that she cant open for me regular account because of my bad credit history, she opened for my opportunity ( limited ) checking account and suggest to check all my information within a credit bureaus. I was shocked because I haver never apply for any credit lines/loans/credit cards in Unites States till XX/XX/XXXX. After a few months I found out information about credit reports/score/credit history. I login to XXXX and XXXX XXXX to check information under my SSN and find out numerous accounts under my name which was opened when I even didnt had a visa to USA. Those accounts were opened within XXXX years when I lived in XXXX and dont even think about USA. So, this complain is about DISCOVER BANK account which was open ( according to XXXX  credit report ) XXXX XXXX, XXXX with a credit limit {$4500.00} and current balance XXXX $ .I have never apply for Discover credit card/never received and never use ANY of Discover Bank credit cards. I physically lived in XXXX-it 's no way for me to used this card. I called Disvover fraud department and told all this information above, but they still didnt report to credit bureaus to remove this fraud account from my credit report.",NA,DISCOVER BANK,PA,191XX,30810,111335503000,STATE,79655267000,10188252000,New York,NA,1,NA,NA,NA,NA,NA,NA,-41
3169014,2019-03-04,Mortgage,VA mortgage,Struggling to pay mortgage,NA,"I am filing this complaint after receiving a letter from Chase today alleging a lie to cover up their illegal activities. In the letter ( see attachment ) dated XX/XX/XXXX Chase asserted that we cant consider you for mortgage assistance because we didnt receive your initial request by the required number of days before the scheduled foreclosure date. THIS STATEMENT IS A LIE. I REPEAT. THIS STATEMENT IS A LIE, AND I CAN PROVE IT! 
Chase has repeatedly made false allegations like this to us for more than four years. Most of the Chase Request for Mortgage Assistance applications we have sent to Chase have been ignored ( see attachment ). Nonetheless, In XX/XX/XXXX, our Chase dedicated relationship manager in XXXX, Florida spoke to the Chase branch bank manager and vice president in XXXX, Georgia. He ( the vice president ) told her ( our dedicated relationship manager ) that he personally faxed all of our documents to her the previous week and confirmed their receipt in her office at that time. In spite of this fact, she requested through the branch bank vice president that we submit our application and all required documents to her again for the 33rd time in 18 months ( see attachment ). Consequently, our dedicated relationship manager sent to our home address a XXXX envelope for us to submit our application and documents back to her again. We sealed the documents in that envelope and took it back to the Chase branch bank so that Chase employees could send it to her through XXXX. 
The Chase branch bank in XXXX, Georgia took receipt of our envelope of documents and gave them to XXXX. XXXX tracking confirms that our application was received by our dedicated relationship manager in her actual office on XX/XX/XXXX at XXXX XXXX ( see attachment ). After that date, we never heard from our dedicated relationship manager again regarding ANY aspect of our application. 
Chase proceeded in XXXX to schedule a foreclosure on our property for XX/XX/XXXX in violation of the laws of our state for multiple reasons, including failure to provide proper notification as required by law. As such, this proves the statement made by Chase to us in their letter dated XX/XX/XXXX is a lie because we submitted our Request for Mortgage Assistance application to Chase more than thirty days before Chase took illegal action to attempt a foreclosure on the date of XX/XX/XXXX. Our "" dedicated relationship manager '' failed to process our application despite our having previously submitted it to her in XX/XX/XXXX, and well as on 32 previous occasions in the past 18 months.",NA,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,GA,305XX,852218,3025285000000,OCC,2253482000000,270060000000,Washington,NA,NA,1,NA,NA,NA,NA,NA,-37
3130438,2019-01-22,Credit card or prepaid card,Store credit card,"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,"On XX/XX/XXXX, I went to XXXX XXXX & XXXX XXXX XXXX, XXXX NY to look at appliances for my new apartment. Salesperson XXXX XXXX assisted me. I had planned to use my credit card to make the purchase but Mr. XXXX encouraged me to take out the store credit card through Synchrony Bank and I would be given a promotional sale which is 18 months interest free to pay off my purchase. I credited {$3500.00} worth of appliances that day and he calculated my monthly payments as {$190.00}. I paid {$200.00} every month up until XX/XX/2018. In XX/XX/XXXX to my surprise I received an email from Synchrony Bank saying that the promotion would expire XX/XX/XXXX. I then made numerous calls to XXXX XXXX XXXX XXXX and was given the runaround. They put me on hold numerous times and then mysteriously the call was dropped. On one occasion they said that the manager was busy and would return my call. He never did. When I called back they told that the manager was still busy and I should call Synchrony Bank instead because they could not help me. The salesperson Mr. XXXX was always conveniently not at work to take my calls. 
I called Synchrony Bank and they told me that they had nothing to do with the promotional sale and that XXXX XXXX are responsible. I was caught between a rock and a hard place as no one wanted to take responsibility and rectify the problem. I balance of approximately {$1100.00} became almost {$1700.00} and when I paid monthly interest was again added monthly. In order to preserve my good credit I had to transfer funds from another credit card with a lower interest rate to pay off this never ending balance.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,NY,NA,1216022,85303000000,OCC,65849000000,10100000000,New York,NA,NA,NA,1,NA,NA,NA,NA,11
3085285,2018-11-28,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Was not notified of investigation status or results,"XXXX  has been non-compliant with removing the unverified account CAPITAL ONE BANK USA Opened Date XX/XX/2015 which has been deleted by XXXX and XXXX. XXXX and XXXX  have both completed their research and determined that CAPITAL ONE BANK USA was not established by myself but XXXX keeps verifying this accounts. Also, when I called the company they responded that XXXX did not send them all of the verifying evidence to confirm each account is unverified.",NA,CAPITAL ONE FINANCIAL CORP,MI,481XX,112837,363521558000,OCC,303536222000,42232353000,Washington,NA,NA,1,NA,NA,NA,NA,NA,0
3136706,2019-01-29,Checking or savings account,Checking account,Managing an account,Cashing a check,"Capital One mailed me a closeout check on or around XX/XX/XXXX, received on XX/XX/XXXX, deposited to my XXXX XXXX account on XX/XX/XXXX. Capital One chose to place a stop payment prematurely on the check and in error, they will not admit to this error plainly, will rather state "" Expectations not set correctly '' as reason for stop payment. A second check was expedited via XXXX second day air and rep ( s ) did not allow enough mail time for prior check before reissuing and thus stopping payment.. The check amount, XXXX, represents the remaining balance in my checking account ending in XXXX. Replacement check was sent on XX/XX/XXXX and delivered on XX/XX/XXXX. I left for XXXX XXXX on this day, was not at my address to receive/sign for it or sign check itself. 

XXXX XXXX with XXXX XXXX XXXX picked me up, drove me to XXXX XXXX XXXX at XXXX XXXX on XX/XX/XXXX. I have a statement from Mr XXXX stating he picked me up on said date and time. Please see attached document from Mr XXXX, he can be reached at XXXX. I was in XXXX XXXX from XX/XX/XXXX to XXXX. 

I received information from a XXXX with leadership team at Capital One stating said check was intercepted and signed by a XXXX XXXX whom does not live here, cashed at a XXXX XXXX XXXX which is not my account and do not bank there. A XXXX XXXX with Capital One has replied in re about this, stating the person, XXXX XXXX, lives at my address and the XXXX XXXX Bank account is or was linked to my Capital One account at some point. She also refers to a check deposited to my account from this person sometime ago. My account is now closed and It appears Capital One chose to close it due to account security, they saw the linked account, which I am not aware of, as a possible risk. It appears someone had hacked into my account at some point, added XXXX XXXX account and also used my account to cash a check in the past. Neither of these two incidents are related to loss of funds or constitute receipt of them. 

If Capital One will check signatures on check received on XX/XX/XXXX and replacement check delivered on XX/XX/XXXX, they will see signatures are different from another. Also, another check from Capital One covering overdraft and return check fees relating to stop payment shows my true and correct signature, as does the check received on XX/XX/XXXX which was deposited to my XXXX account and is now closed due to overdrawn status. The overdraft is a result of Capital One stopping payment prematurely as stated prior. I've requested Capital One check signatures, XXXX XXXX did not comply. For argument sake and figuratively speaking even if the person, XXXX XXXX, is related, does not mean funds were not stolen from me as they in fact were..

I request someone in office of the President look into this matter which has been ongoing since late XX/XX/XXXX/early XX/XX/XXXX. To avoid investigating signatures as requested, Capital One chooses to mark complaints as duplicate to avoid doing so. They requested additional time to reply to a prior complaint, which took over a month and then turned around, marked it as duplicate.",NA,CAPITAL ONE FINANCIAL CORP,CT,06320,112837,363521558000,OCC,303536222000,42232353000,Washington,NA,NA,1,NA,NA,NA,NA,NA,-39
3121663,2019-01-10,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"On XX/XX/XXXX, Bank of America mailed out a card for a new authorized user on my credit card. They send it by regular mail and it was lost by USPS. 

The guy who steal the card swipe the card at a local gas station and XXXX  for around {$16.00} and it is an obvious fraud. 

The bank decided to reject the claim because a chip card is used, which they claim will prove it is my responsibility. Which is totally unreasonable considering their "" Zero Liability Protection ''. 

I called the Bank, and after a full hour of wait and connected with a supervisor XXXX, I was asked to go through all the hassles of file police report and USPS lost mail case in order to appeal to the claim, without promise that the non-authorized charges will be refunded. Regardless of what I say, they just keep saying there is nothing else they can do.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BANK OF AMERICA NATIONAL ASSOCIATION,CA,940XX,480228,2258832000000,OCC,1906458000000,218605000000,Washington,NA,NA,1,NA,NA,NA,NA,NA,-17
3128523,2019-01-18,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Money was taken from your account on the wrong day or for the wrong amount,"I made an appointment at XXXX for myself and another person. The contract is with me directly and XXXX charged me for both cancellations. As you can see, I was debited 6 times and charged twice for services not received. I agree to pay my cancellation however I'm not responsible for other persons payment. I have tried to dispute this with the merchant and bank of America and getting nowhere. I want my {$69.00} back. 

THIS IS A CONSUMER TRANSACTION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BANK OF AMERICA NATIONAL ASSOCIATION,AZ,852XX,480228,2258832000000,OCC,1906458000000,218605000000,Washington,NA,NA,1,NA,NA,NA,NA,NA,1
3288810,2019-06-27,Credit card or prepaid card,General-purpose credit card or charge card,Closing your account,Company closed your account,I was using my chase credit card like a regular credit card one day it just got declined so when i called chase they just told me that they decided to close my accounts and end our relationship with no reason for why it was done.,NA,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,NJ,087XX,852218,3025285000000,OCC,2253482000000,270060000000,Washington,NA,NA,1,NA,NA,NA,NA,NA,0
2432795,2017-04-13,Credit card,NA,Other,NA,"I was stupid enough to charge some items at MACY 'S on my Macy 's credit card over XXXX. I was unable to log into my account online to make the payment because Macy 's had updated the system and I simply did n't have the patience to navigate their irritating and obscure system. However, I called Macy 's and paid my bill for $ XXXX a day or two late - was assured that there would be no late charges because I was a customer in good standing, yada yada, and received a confirmation number that I had paid the bill in full. 

I then received a bill for {$2.00} in interest. OK, I agree - I had n't paid the {$140.00} on time, regardless of the reason. Whatever. So I paid that {$2.00} bill immediately, by check, and left the country for an extended absence - in complete confidence that I had paid all my bills in full. 

Imagine my surprise when I returned to the US and found that Macy 's had received and cashed my check, but charged me a further {$2.00} anyway as a minimum interest charge on the interest charge that had been paid in full, well before the due date. Oh, and then added a further minimum {$2.00} charge for a total of {$4.00}, due on XXXX. 

I called Macy 's right away and spoke to one XXXX, who did n't seem to have a clue why I was irritated, but eventually - very grudgingly and with full implication that I was a total deadbeat - agreed that she would "" waive '' the {$4.00}. 

Imagine my FURTHER surprise when I received a FURTHER email from Macy 's about my "" account balance. '' I immediately called, went through endless voice prompts, and finally got through to a live human being who said in hushed tones that she 'd have to put me through to another department. 

Sure enough, I got the "" this is an attempt to collect a debt '' speech. The glorious XXXX, according to the faultlessly polite CS rep who answered, had failed to properly credit my account. He agreed that he could correct it and that my account would update eventually to show a {$0.00} balance. However, he was unable to reassure me that this, um, "" delinquency '' had not been reported to the credit bureaux that make a darn good living off selling my info, and he could not send me a letter saying that Macy 's had made a mistake. Given that the glorious XXXX had also assured me that I had a {$0.00} balance on my Macy 's charge card, forgive me if I 'm not confident that I do in fact now have a {$0.00} balance. 

I do not give a flying whatever about my credit as I am old and cranky and do n't need any credit. I DO care that Macy 's total incompetence and the Macy 's system that is set up to fail, to their benefit and to consumers ' detriment, affects kids and other people who DO need good credit.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CITIBANK NATIONAL ASSOCIATION,NC,286XX,476810,1661507000000,OCC,1282071000000,159509000000,Washington,NA,NA,1,NA,NA,NA,NA,NA,-2
